soa_welcome,Hello Abyss!,"Здравствуй, Бездна!",,,,,,,,ハローアビス！,,
soa_caution,you should be careful ascending,вам следует быть осторожными при подъёме,,,,,,,,上昇負荷に注意！,,
soa_cursed,Curse of the Abyss,Проклятье Бездны,,,,,,,,アビスの呪いを受けました,,
soa_curse,curse of the abyss,проклятье Бездны,,,,,,,,アビスの呪い,,
soa_0th,0th layer: Nothing,0-й слой: Ничего,,,,,,,,0層：なにもなし,,
soa_1st,1st layer: Light dizziness and nausea,1-й слой: Лёгкое головокружение и тошнота,,,,,,,,深界一層：軽い目まいと吐き気,,
soa_2nd,2nd layer: Heavy nausea. headache and numbness of limbs,"2-й слой: Сильная тошнота, головная боль и онемение конечностей",,,,,,,,深界二層：重い吐き気 頭痛 末端の痺れ,,
soa_3rd,3rd layer: Vertigo combined with visual and auditory hallucinations,3-й слой: Головокружение в сочетании со зрительными и слуховыми галлюцинациями,,,,,,,,深界三層：二層の呪いに加え 平衡感覚に異常 幻覚や幻聴,,
soa_4th,4th layer: Intense full-body pain. dizziness from pain and varying amounts of internal and external bleeding across the body,4-й слой: Интенсивная боль во всём теле. Головокружение от боли и различное количество внутренних и внешних кровотечений по всему телу,,,,,,,,深界四層：全身に激痛 穴という穴から流血,,
soa_5th,5th layer: Complete sensory deprivation. confusion and self-harming behavior,5-й слой: Полная сенсорная депривация. Смятение и самоповреждающее поведение,,,,,,,,深界五層：全感覚の喪失 それに伴う意識混濁 自傷行為,,
soa_6th,6th layer: Loss of humanity or death,6-й слой: Потеря человечности или смерть,,,,,,,,深界六層：人間性の喪失 もしくは死,,
soa_7th,7th layer: Certain death,7-й слой: Непременная смерть,,,,,,,,深界七層：確実な死,,
